municipio,provincia,municipio_nombre_humano,precio_m2_alquiler,num_casas_alquiler
Torrelavit,Barcelona,Torrelavit,-,0
Torrelles de Foix,Barcelona,Torrelles de Foix,15.0,1
Torrelles de Llobregat,Barcelona,Torrelles de Llobregat,4.88,1
Ullastrell,Barcelona,Ullastrell,-,0
Vacarisses,Barcelona,Vacarisses,4.91,1
Vallbona d'Anoia,Barcelona,Vallbona d'Anoia,-,0
Vallcebre,Barcelona,Vallcebre,-,0
Vallgorguina,Barcelona,Vallgorguina,-,0
Vallirana,Barcelona,Vallirana,9.39,11
Vallromanes,Barcelona,Vallromanes,7.77,2
Veciana,Barcelona,Veciana,-,0
Vic,Barcelona,Vic,8.63,49
Vilada,Barcelona,Vilada,-,0
Viladecans,Barcelona,Viladecans,11.87,14
Viladecavalls,Barcelona,Viladecavalls,-,0
Vilafranca del Penedès,Barcelona,Vilafranca del Penedès,9.18,41
Vilalba Sasserra,Barcelona,Vilalba Sasserra,3.52,1
Vilanova de Sau,Barcelona,Vilanova de Sau,-,0
Vilanova del Camí,Barcelona,Vilanova del Camí,8.15,2
Vilanova del Vallès,Barcelona,Vilanova del Vallès,7.2,5
Vilanova i la Geltrú,Barcelona,Vilanova i la Geltrú,12.89,66
Vilassar de Dalt,Barcelona,Vilassar de Dalt,11.7,7
Vilassar de Mar,Barcelona,Vilassar de Mar,13.45,24
Vilobí del Penedès,Barcelona,Vilobí del Penedès,3.59,1
Viver i Serrateix,Barcelona,Viver i Serrateix,-,0
Abajas,Burgos,Abajas,-,0
Adrada de Haza,Burgos,Adrada de Haza,-,0
Aguas Cándidas,Burgos,Aguas Cándidas,-,0
Aguilar de Bureba,Burgos,Aguilar de Bureba,-,0
Albillos,Burgos,Albillos,-,0
Alcocero de Mola,Burgos,Alcocero de Mola,-,0
Alfoz de Bricia,Burgos,Alfoz de Bricia,-,0
Alfoz de Quintanadueñas,Burgos,Alfoz de Quintanadueñas,-,0
Alfoz de Santa Gadea,Burgos,Alfoz de Santa Gadea,-,0
Altable,Burgos,Altable,-,0
Altos (Los),Burgos,Los Altos,-,0
Ameyugo,Burgos,Ameyugo,-,0
Anguix,Burgos,Anguix,-,0
Aranda de Duero,Burgos,Aranda de Duero,7.72,27
Arandilla,Burgos,Arandilla,-,0
Arauzo de Miel,Burgos,Arauzo de Miel,-,0
Arauzo de Salce,Burgos,Arauzo de Salce,-,0
Arauzo de Torre,Burgos,Arauzo de Torre,-,0
Arcos,Burgos,Arcos,-,0
Arenillas de Riopisuerga,Burgos,Arenillas de Riopisuerga,-,0
Arija,Burgos,Arija,-,0
Arlanzón,Burgos,Arlanzón,-,0
Arraya de Oca,Burgos,Arraya de Oca,-,0
Atapuerca,Burgos,Atapuerca,-,0
Ausines (Los),Burgos,Los Ausines,-,0
Avellanosa de Muñó,Burgos,Avellanosa de Muñó,-,0
Bahabón de Esgueva,Burgos,Bahabón de Esgueva,-,0
Balbases (Los),Burgos,Los Balbases,-,0
Baños de Valdearados,Burgos,Baños de Valdearados,-,0
Bañuelos de Bureba,Burgos,Bañuelos de Bureba,-,0
Barbadillo de Herreros,Burgos,Barbadillo de Herreros,13.0,1
Barbadillo del Mercado,Burgos,Barbadillo del Mercado,-,0
Barbadillo del Pez,Burgos,Barbadillo del Pez,-,0
Barrio de Muñó,Burgos,Barrio de Muñó,-,0
Barrios de Bureba (Los),Burgos,Los Barrios de Bureba,7.5,1
Barrios de Colina,Burgos,Barrios de Colina,-,0
Basconcillos del Tozo,Burgos,Basconcillos del Tozo,-,0
Bascuñana,Burgos,Bascuñana,-,0
Belbimbre,Burgos,Belbimbre,-,0
Belorado,Burgos,Belorado,6.11,3
Berberana,Burgos,Berberana,-,0
Berlangas de Roa,Burgos,Berlangas de Roa,-,0
Berzosa de Bureba,Burgos,Berzosa de Bureba,-,0
Bozoó,Burgos,Bozoó,-,0
Brazacorta,Burgos,Brazacorta,-,0
Briviesca,Burgos,Briviesca,3.52,3
Bugedo,Burgos,Bugedo,-,0
Buniel,Burgos,Buniel,-,0
Burgos,Burgos,Burgos,7.9,316
Busto de Bureba,Burgos,Busto de Bureba,-,0
Cabañes de Esgueva,Burgos,Cabañes de Esgueva,-,0
Cabezón de la Sierra,Burgos,Cabezón de la Sierra,-,0
Caleruega,Burgos,Caleruega,-,0
Campillo de Aranda,Burgos,Campillo de Aranda,-,0
Campolara,Burgos,Campolara,-,0
Canicosa de la Sierra,Burgos,Canicosa de la Sierra,-,0
Cantabrana,Burgos,Cantabrana,-,0
Carazo,Burgos,Carazo,-,0
Carcedo de Bureba,Burgos,Carcedo de Bureba,-,0
Carcedo de Burgos,Burgos,Carcedo de Burgos,-,0
Cardeñadijo,Burgos,Cardeñadijo,7.42,2
Cardeñajimeno,Burgos,Cardeñajimeno,4.32,2
Cardeñuela Riopico,Burgos,Cardeñuela Riopico,-,0
Carrias,Burgos,Carrias,-,0
Cascajares de Bureba,Burgos,Cascajares de Bureba,-,0
Cascajares de la Sierra,Burgos,Cascajares de la Sierra,-,0
Castellanos de Castro,Burgos,Castellanos de Castro,-,0
Castil de Peones,Burgos,Castil de Peones,-,0
Castildelgado,Burgos,Castildelgado,-,0
Castrillo de la Reina,Burgos,Castrillo de la Reina,-,0
Castrillo de la Vega,Burgos,Castrillo de la Vega,-,0
Castrillo de Riopisuerga,Burgos,Castrillo de Riopisuerga,-,0
Castrillo del Val,Burgos,Castrillo del Val,-,0
Castrillo Mota de Judíos,Burgos,Castrillo Mota de Judíos,-,0
Castrojeriz,Burgos,Castrojeriz,2.83,1
Cavia,Burgos,Cavia,-,0
Cayuela,Burgos,Cayuela,-,0
Cebrecos,Burgos,Cebrecos,-,0
Celada del Camino,Burgos,Celada del Camino,-,0
Cerezo de Río Tirón,Burgos,Cerezo de Río Tirón,-,0
Cerratón de Juarros,Burgos,Cerratón de Juarros,-,0
Ciadoncha,Burgos,Ciadoncha,-,0
Cillaperlata,Burgos,Cillaperlata,-,0
Cilleruelo de Abajo,Burgos,Cilleruelo de Abajo,-,0
Cilleruelo de Arriba,Burgos,Cilleruelo de Arriba,-,0
Ciruelos de Cervera,Burgos,Ciruelos de Cervera,-,0
Cogollos,Burgos,Cogollos,-,0
Condado de Treviño,Burgos,Condado de Treviño,5.66,3
Contreras,Burgos,Contreras,-,0
Coruña del Conde,Burgos,Coruña del Conde,-,0
Covarrubias,Burgos,Covarrubias,-,0
Cubillo del Campo,Burgos,Cubillo del Campo,-,0
Cubo de Bureba,Burgos,Cubo de Bureba,-,0
Cueva de Roa (La),Burgos,La Cueva de Roa,-,0
Cuevas de San Clemente,Burgos,Cuevas de San Clemente,-,0
Encío,Burgos,Encío,-,0
Espinosa de Cervera,Burgos,Espinosa de Cervera,-,0
Espinosa de los Monteros,Burgos,Espinosa de los Monteros,4.48,2
Espinosa del Camino,Burgos,Espinosa del Camino,-,0
Estépar,Burgos,Estépar,-,0
Fontioso,Burgos,Fontioso,-,0
Frandovínez,Burgos,Frandovínez,-,0
Fresneda de la Sierra Tirón,Burgos,Fresneda de la Sierra Tirón,-,0
Fresneña,Burgos,Fresneña,-,0
Fresnillo de las Dueñas,Burgos,Fresnillo de las Dueñas,6.5,1
Fresno de Río Tirón,Burgos,Fresno de Río Tirón,-,0
Fresno de Rodilla,Burgos,Fresno de Rodilla,-,0
Frías,Burgos,Frías,-,0
Fuentebureba,Burgos,Fuentebureba,-,0
Fuentecén,Burgos,Fuentecén,-,0
Fuentelcésped,Burgos,Fuentelcésped,-,0
Fuentelisendo,Burgos,Fuentelisendo,4.81,2
Fuentemolinos,Burgos,Fuentemolinos,-,0
Fuentenebro,Burgos,Fuentenebro,-,0
Fuentespina,Burgos,Fuentespina,-,0
Galbarros,Burgos,Galbarros,-,0
Gallega (La),Burgos,La Gallega,-,0
Grijalba,Burgos,Grijalba,-,0
Grisaleña,Burgos,Grisaleña,-,0
Gumiel de Izán,Burgos,Gumiel de Izán,-,0
Gumiel de Mercado,Burgos,Gumiel de Mercado,-,0
Hacinas,Burgos,Hacinas,-,0
Haza,Burgos,Haza,-,0
Hontanas,Burgos,Hontanas,-,0
Hontangas,Burgos,Hontangas,-,0
Hontoria de la Cantera,Burgos,Hontoria de la Cantera,-,0
Hontoria de Valdearados,Burgos,Hontoria de Valdearados,-,0
Hontoria del Pinar,Burgos,Hontoria del Pinar,-,0
Hormazas (Las),Burgos,Las Hormazas,-,0
Hornillos del Camino,Burgos,Hornillos del Camino,-,0
Horra (La),Burgos,La Horra,-,0
Hortigüela,Burgos,Hortigüela,-,0
Hoyales de Roa,Burgos,Hoyales de Roa,-,0
Huérmeces,Burgos,Huérmeces,-,0
Huerta de Arriba,Burgos,Huerta de Arriba,-,0
Huerta de Rey,Burgos,Huerta de Rey,-,0
Humada,Burgos,Humada,-,0
Hurones,Burgos,Hurones,-,0
Ibeas de Juarros,Burgos,Ibeas de Juarros,-,0
Ibrillos,Burgos,Ibrillos,-,0
Iglesiarrubia,Burgos,Iglesiarrubia,-,0
Iglesias,Burgos,Iglesias,-,0
Isar,Burgos,Isar,-,0
Itero del Castillo,Burgos,Itero del Castillo,-,0
Jaramillo de la Fuente,Burgos,Jaramillo de la Fuente,-,0
Jaramillo Quemado,Burgos,Jaramillo Quemado,-,0
Junta de Traslaloma,Burgos,Junta de Traslaloma,-,0
Junta de Villalba de Losa,Burgos,Junta de Villalba de Losa,-,0
Jurisdicción de Lara,Burgos,Jurisdicción de Lara,-,0
Jurisdicción de San Zadornil,Burgos,Jurisdicción de San Zadornil,4.5,1
Lerma,Burgos,Lerma,6.03,3
Llano de Bureba,Burgos,Llano de Bureba,-,0
Madrigal del Monte,Burgos,Madrigal del Monte,-,0
Madrigalejo del Monte,Burgos,Madrigalejo del Monte,-,0
Mahamud,Burgos,Mahamud,-,0
Mambrilla de Castrejón,Burgos,Mambrilla de Castrejón,-,0
Mambrillas de Lara,Burgos,Mambrillas de Lara,-,0
Mamolar,Burgos,Mamolar,-,0
Manciles,Burgos,Manciles,-,0
Mazuela,Burgos,Mazuela,-,0
Mecerreyes,Burgos,Mecerreyes,-,0
Medina de Pomar,Burgos,Medina de Pomar,4.86,29
Melgar de Fernamental,Burgos,Melgar de Fernamental,3.3,2
Merindad de Cuesta-Urria,Burgos,Merindad de Cuesta-Urria,-,0
Merindad de Montija,Burgos,Merindad de Montija,-,0
Merindad de Río Ubierna,Burgos,Merindad de Río Ubierna,-,0
Merindad de Sotoscueva,Burgos,Merindad de Sotoscueva,-,0
Merindad de Valdeporres,Burgos,Merindad de Valdeporres,-,0
Merindad de Valdivielso,Burgos,Merindad de Valdivielso,-,0
Milagros,Burgos,Milagros,-,0
Miranda de Ebro,Burgos,Miranda de Ebro,7.22,21
Miraveche,Burgos,Miraveche,-,0
Modúbar de la Emparedada,Burgos,Modúbar de la Emparedada,-,0
Monasterio de la Sierra,Burgos,Monasterio de la Sierra,-,0
Monasterio de Rodilla,Burgos,Monasterio de Rodilla,-,0
Moncalvillo,Burgos,Moncalvillo,-,0
Monterrubio de la Demanda,Burgos,Monterrubio de la Demanda,-,0
Montorio,Burgos,Montorio,-,0
Moradillo de Roa,Burgos,Moradillo de Roa,-,0
Nava de Roa,Burgos,Nava de Roa,-,0
Navas de Bureba,Burgos,Navas de Bureba,-,0
Nebreda,Burgos,Nebreda,-,0
Neila,Burgos,Neila,-,0
Olmedillo de Roa,Burgos,Olmedillo de Roa,-,0
Olmillos de Muñó,Burgos,Olmillos de Muñó,-,0
Oña,Burgos,Oña,3.4,2
Oquillas,Burgos,Oquillas,-,0
Orbaneja Riopico,Burgos,Orbaneja Riopico,-,0
Padilla de Abajo,Burgos,Padilla de Abajo,-,0
Padilla de Arriba,Burgos,Padilla de Arriba,-,0
Padrones de Bureba,Burgos,Padrones de Bureba,-,0
Palacios de la Sierra,Burgos,Palacios de la Sierra,-,0
Palacios de Riopisuerga,Burgos,Palacios de Riopisuerga,-,0
Palazuelos de la Sierra,Burgos,Palazuelos de la Sierra,-,0
Palazuelos de Muñó,Burgos,Palazuelos de Muñó,-,0
Pampliega,Burgos,Pampliega,-,0
Pancorbo,Burgos,Pancorbo,-,0
Pardilla,Burgos,Pardilla,-,0
Partido de la Sierra en Tobalina,Burgos,Partido de la Sierra en Tobalina,-,0
Pedrosa de Duero,Burgos,Pedrosa de Duero,-,0
Pedrosa de Río Úrbel,Burgos,Pedrosa de Río Úrbel,-,0
Pedrosa del Páramo,Burgos,Pedrosa del Páramo,-,0
Pedrosa del Príncipe,Burgos,Pedrosa del Príncipe,-,0
Peñaranda de Duero,Burgos,Peñaranda de Duero,-,0
Peral de Arlanza,Burgos,Peral de Arlanza,-,0
Piérnigas,Burgos,Piérnigas,-,0
Pineda de la Sierra,Burgos,Pineda de la Sierra,6.36,1
Pineda Trasmonte,Burgos,Pineda Trasmonte,-,0
Pinilla de los Barruecos,Burgos,Pinilla de los Barruecos,-,0
Pinilla de los Moros,Burgos,Pinilla de los Moros,-,0
Pinilla Trasmonte,Burgos,Pinilla Trasmonte,-,0
Poza de la Sal,Burgos,Poza de la Sal,-,0
Prádanos de Bureba,Burgos,Prádanos de Bureba,-,0
Pradoluengo,Burgos,Pradoluengo,3.72,2
Presencio,Burgos,Presencio,-,0
Puebla de Arganzón (La),Burgos,La Puebla de Arganzón,6.47,1
Puentedura,Burgos,Puentedura,-,0
Quemada,Burgos,Quemada,-,0
Quintana del Pidio,Burgos,Quintana del Pidio,-,0
Quintanabureba,Burgos,Quintanabureba,-,0
Quintanaélez,Burgos,Quintanaélez,-,0
Quintanaortuño,Burgos,Quintanaortuño,-,0
Quintanapalla,Burgos,Quintanapalla,-,0
Quintanar de la Sierra,Burgos,Quintanar de la Sierra,8.06,4
Quintanavides,Burgos,Quintanavides,-,0
Quintanilla de la Mata,Burgos,Quintanilla de la Mata,-,0
Quintanilla del Agua y Tordueles,Burgos,Quintanilla del Agua y Tordueles,-,0
Quintanilla del Coco,Burgos,Quintanilla del Coco,-,0
Quintanilla San García,Burgos,Quintanilla San García,-,0
Quintanilla Vivar,Burgos,Quintanilla Vivar,-,0
Quintanillas (Las),Burgos,Las Quintanillas,-,0
Rabanera del Pinar,Burgos,Rabanera del Pinar,-,0
Rábanos,Burgos,Rábanos,-,0
Rabé de las Calzadas,Burgos,Rabé de las Calzadas,-,0
Rebolledo de la Torre,Burgos,Rebolledo de la Torre,-,0
Redecilla del Camino,Burgos,Redecilla del Camino,-,0
Redecilla del Campo,Burgos,Redecilla del Campo,-,0
Regumiel de la Sierra,Burgos,Regumiel de la Sierra,-,0
Reinoso,Burgos,Reinoso,-,0
Retuerta,Burgos,Retuerta,-,0
Revilla del Campo,Burgos,Revilla del Campo,-,0
Revilla Vallejera,Burgos,Revilla Vallejera,-,0
Revilla y Ahedo (La),Burgos,La Revilla y Ahedo,-,0
Revillarruz,Burgos,Revillarruz,3.83,1
Rezmondo,Burgos,Rezmondo,-,0
Riocavado de la Sierra,Burgos,Riocavado de la Sierra,-,0
Roa,Burgos,Roa,-,0
Rojas,Burgos,Rojas,-,0
Royuela de Río Franco,Burgos,Royuela de Río Franco,-,0
Rubena,Burgos,Rubena,-,0
Rublacedo de Abajo,Burgos,Rublacedo de Abajo,-,0
Rucandio,Burgos,Rucandio,-,0
Salas de Bureba,Burgos,Salas de Bureba,-,0
Salas de los Infantes,Burgos,Salas de los Infantes,4.41,6
Saldaña de Burgos,Burgos,Saldaña de Burgos,5.58,1
Salinillas de Bureba,Burgos,Salinillas de Bureba,-,0
San Adrián de Juarros,Burgos,San Adrián de Juarros,-,0
San Juan del Monte,Burgos,San Juan del Monte,-,0
San Mamés de Burgos,Burgos,San Mamés de Burgos,-,0
San Martín de Rubiales,Burgos,San Martín de Rubiales,3.33,1
San Millán de Lara,Burgos,San Millán de Lara,-,0
San Vicente del Valle,Burgos,San Vicente del Valle,-,0
Santa Cecilia,Burgos,Santa Cecilia,-,0
Santa Cruz de la Salceda,Burgos,Santa Cruz de la Salceda,-,0
Santa Cruz del Valle Urbión,Burgos,Santa Cruz del Valle Urbión,-,0
Santa Gadea del Cid,Burgos,Santa Gadea del Cid,-,0
Santa Inés,Burgos,Santa Inés,-,0
Santa María del Campo,Burgos,Santa María del Campo,-,0
Santa María del Invierno,Burgos,Santa María del Invierno,-,0
Santa María del Mercadillo,Burgos,Santa María del Mercadillo,-,0
Santa María Rivarredonda,Burgos,Santa María Rivarredonda,-,0
Santa Olalla de Bureba,Burgos,Santa Olalla de Bureba,-,0
Santibáñez de Esgueva,Burgos,Santibáñez de Esgueva,-,0
Santibáñez del Val,Burgos,Santibáñez del Val,-,0
Santo Domingo de Silos,Burgos,Santo Domingo de Silos,-,0
Sargentes de la Lora,Burgos,Sargentes de la Lora,-,0
Sarracín,Burgos,Sarracín,-,0
Sasamón,Burgos,Sasamón,-,0
Sequera de Haza (La),Burgos,La Sequera de Haza,-,0
Solarana,Burgos,Solarana,-,0
Sordillos,Burgos,Sordillos,-,0
Sotillo de la Ribera,Burgos,Sotillo de la Ribera,-,0
Sotragero,Burgos,Sotragero,-,0
Sotresgudo,Burgos,Sotresgudo,-,0
Susinos del Páramo,Burgos,Susinos del Páramo,-,0
Tamarón,Burgos,Tamarón,-,0
Tardajos,Burgos,Tardajos,-,0
Tejada,Burgos,Tejada,-,0
Terradillos de Esgueva,Burgos,Terradillos de Esgueva,-,0
Tinieblas de la Sierra,Burgos,Tinieblas de la Sierra,-,0
Tobar,Burgos,Tobar,-,0
Tordómar,Burgos,Tordómar,-,0
Torrecilla del Monte,Burgos,Torrecilla del Monte,-,0
Torregalindo,Burgos,Torregalindo,-,0
Torrelara,Burgos,Torrelara,-,0
Torrepadre,Burgos,Torrepadre,-,0
Torresandino,Burgos,Torresandino,-,0
Tórtoles de Esgueva,Burgos,Tórtoles de Esgueva,-,0
Tosantos,Burgos,Tosantos,-,0
Trespaderne,Burgos,Trespaderne,6.0,1
Tubilla del Agua,Burgos,Tubilla del Agua,-,0
Tubilla del Lago,Burgos,Tubilla del Lago,-,0
Úrbel del Castillo,Burgos,Úrbel del Castillo,-,0
Vadocondes,Burgos,Vadocondes,-,0
Valdeande,Burgos,Valdeande,-,0
Valdezate,Burgos,Valdezate,-,0
Valdorros,Burgos,Valdorros,-,0
Vallarta de Bureba,Burgos,Vallarta de Bureba,-,0
Valle de las Navas,Burgos,Valle de las Navas,-,0
Valle de Losa,Burgos,Valle de Losa,10.0,1
Valle de Manzanedo,Burgos,Valle de Manzanedo,-,0
Valle de Mena,Burgos,Valle de Mena,4.71,1
Valle de Oca,Burgos,Valle de Oca,-,0
Valle de Santibáñez,Burgos,Valle de Santibáñez,3.82,1
Valle de Sedano,Burgos,Valle de Sedano,5.0,1
Valle de Tobalina,Burgos,Valle de Tobalina,-,0
Valle de Valdebezana,Burgos,Valle de Valdebezana,4.39,2
Valle de Valdelaguna,Burgos,Valle de Valdelaguna,2.33,1
Valle de Valdelucio,Burgos,Valle de Valdelucio,-,0
Valle de Zamanzas,Burgos,Valle de Zamanzas,-,0
Vallejera,Burgos,Vallejera,-,0
Valles de Palenzuela,Burgos,Valles de Palenzuela,-,0
Valluércanes,Burgos,Valluércanes,-,0
Valmala,Burgos,Valmala,-,0
Vid de Bureba (La),Burgos,La Vid de Bureba,-,0
Vid y Barrios (La),Burgos,La Vid y Barrios,-,0
Vileña,Burgos,Vileña,-,0
Villadiego,Burgos,Villadiego,-,0
Villaescusa de Roa,Burgos,Villaescusa de Roa,-,0
Villaescusa la Sombría,Burgos,Villaescusa la Sombría,-,0
Villaespasa,Burgos,Villaespasa,-,0
Villafranca Montes de Oca,Burgos,Villafranca Montes de Oca,-,0
Villafruela,Burgos,Villafruela,-,0
Villagalijo,Burgos,Villagalijo,-,0
Villagonzalo Pedernales,Burgos,Villagonzalo Pedernales,10.0,1
Villahoz,Burgos,Villahoz,-,0
Villalba de Duero,Burgos,Villalba de Duero,-,0
Villalbilla de Burgos,Burgos,Villalbilla de Burgos,6.84,2
Villalbilla de Gumiel,Burgos,Villalbilla de Gumiel,-,0
Villaldemiro,Burgos,Villaldemiro,-,0
Villalmanzo,Burgos,Villalmanzo,4.42,1
Villamayor de los Montes,Burgos,Villamayor de los Montes,-,0
Villamayor de Treviño,Burgos,Villamayor de Treviño,-,0
Villambistia,Burgos,Villambistia,-,0
Villamedianilla,Burgos,Villamedianilla,-,0
Villamiel de la Sierra,Burgos,Villamiel de la Sierra,-,0
Villangómez,Burgos,Villangómez,-,0
Villanueva de Argaño,Burgos,Villanueva de Argaño,-,0
Villanueva de Carazo,Burgos,Villanueva de Carazo,-,0
Villanueva de Gumiel,Burgos,Villanueva de Gumiel,-,0
Villanueva de Teba,Burgos,Villanueva de Teba,-,0
Villaquirán de la Puebla,Burgos,Villaquirán de la Puebla,-,0
Villaquirán de los Infantes,Burgos,Villaquirán de los Infantes,-,0
Villarcayo de Merindad de Castilla la Vieja,Burgos,Villarcayo de Merindad de Castilla la Vieja,6.74,23
Villariezo,Burgos,Villariezo,-,0
Villasandino,Burgos,Villasandino,-,0
Villasur de Herreros,Burgos,Villasur de Herreros,-,0
Villatuelda,Burgos,Villatuelda,-,0
Villaverde del Monte,Burgos,Villaverde del Monte,-,0
Villaverde-Mogina,Burgos,Villaverde-Mogina,-,0
Villayerno Morquillas,Burgos,Villayerno Morquillas,-,0
Villazopeque,Burgos,Villazopeque,-,0
Villegas,Burgos,Villegas,-,0
Villoruebo,Burgos,Villoruebo,-,0
Viloria de Rioja,Burgos,Viloria de Rioja,-,0
Vilviestre del Pinar,Burgos,Vilviestre del Pinar,-,0
Vizcaínos,Burgos,Vizcaínos,-,0
Zael,Burgos,Zael,-,0
Zarzosa de Río Pisuerga,Burgos,Zarzosa de Río Pisuerga,-,0
Zazuar,Burgos,Zazuar,-,0
Zuñeda,Burgos,Zuñeda,-,0
Abadía,Cáceres,Abadía,-,0
Abertura,Cáceres,Abertura,-,0
Acebo,Cáceres,Acebo,-,0
Acehúche,Cáceres,Acehúche,-,0
Aceituna,Cáceres,Aceituna,-,0
Ahigal,Cáceres,Ahigal,3.33,1
Alagón del Río,Cáceres,Alagón del Río,-,0
Albalá,Cáceres,Albalá,-,0
Alcántara,Cáceres,Alcántara,-,0
Alcollarín,Cáceres,Alcollarín,-,0
Alcuéscar,Cáceres,Alcuéscar,-,0
Aldea del Cano,Cáceres,Aldea del Cano,-,0
Aldea del Obispo (La),Cáceres,La Aldea del Obispo,-,0
Aldeacentenera,Cáceres,Aldeacentenera,3.8,1
Aldeanueva de la Vera,Cáceres,Aldeanueva de la Vera,3.02,2
Aldeanueva del Camino,Cáceres,Aldeanueva del Camino,-,0
Aldehuela de Jerte,Cáceres,Aldehuela de Jerte,-,0
Alía,Cáceres,Alía,-,0
Aliseda,Cáceres,Aliseda,-,0
Almaraz,Cáceres,Almaraz,5.0,1
Almoharín,Cáceres,Almoharín,-,0
Arroyo de la Luz,Cáceres,Arroyo de la Luz,3.69,3
Arroyomolinos,Cáceres,Arroyomolinos,-,0
Arroyomolinos de la Vera,Cáceres,Arroyomolinos de la Vera,3.89,1
Baños de Montemayor,Cáceres,Baños de Montemayor,-,0
Barrado,Cáceres,Barrado,-,0
Belvís de Monroy,Cáceres,Belvís de Monroy,4.23,1
Benquerencia,Cáceres,Benquerencia,-,0
Berrocalejo,Cáceres,Berrocalejo,-,0
Berzocana,Cáceres,Berzocana,-,0
Bohonal de Ibor,Cáceres,Bohonal de Ibor,-,0
Botija,Cáceres,Botija,-,0
Brozas,Cáceres,Brozas,inf,2
Cabañas del Castillo,Cáceres,Cabañas del Castillo,-,0
Cabezabellosa,Cáceres,Cabezabellosa,-,0
Cabezuela del Valle,Cáceres,Cabezuela del Valle,4.03,3
Cabrero,Cáceres,Cabrero,5.0,1
Cáceres,Cáceres,Cáceres,-,162
Cachorrilla,Cáceres,Cachorrilla,-,0
Cadalso,Cáceres,Cadalso,-,0
Calzadilla,Cáceres,Calzadilla,-,0
Caminomorisco,Cáceres,Caminomorisco,-,0
Campillo de Deleitosa,Cáceres,Campillo de Deleitosa,-,0
Campo Lugar,Cáceres,Campo Lugar,-,0
Cañamero,Cáceres,Cañamero,5.23,2
Cañaveral,Cáceres,Cañaveral,4.0,1
Carbajo,Cáceres,Carbajo,-,0
Carcaboso,Cáceres,Carcaboso,-,0
Carrascalejo,Cáceres,Carrascalejo,-,0
Casar de Cáceres,Cáceres,Casar de Cáceres,5.48,7
Casar de Palomero,Cáceres,Casar de Palomero,-,0
Casares de las Hurdes,Cáceres,Casares de las Hurdes,-,0
Casas de Don Antonio,Cáceres,Casas de Don Antonio,-,0
Casas de Don Gómez,Cáceres,Casas de Don Gómez,-,0
Casas de Millán,Cáceres,Casas de Millán,-,0
Casas de Miravete,Cáceres,Casas de Miravete,-,0
Casas del Castañar,Cáceres,Casas del Castañar,-,0
Casas del Monte,Cáceres,Casas del Monte,-,0
Casatejada,Cáceres,Casatejada,-,0
Casillas de Coria,Cáceres,Casillas de Coria,-,0
Castañar de Ibor,Cáceres,Castañar de Ibor,3.06,1
Ceclavín,Cáceres,Ceclavín,-,0
Cedillo,Cáceres,Cedillo,-,0
Cerezo,Cáceres,Cerezo,-,0
Cilleros,Cáceres,Cilleros,-,0
Collado de la Vera,Cáceres,Collado de la Vera,-,0
Conquista de la Sierra,Cáceres,Conquista de la Sierra,-,0
Coria,Cáceres,Coria,4.72,3
Cuacos de Yuste,Cáceres,Cuacos de Yuste,-,0
Cumbre (La),Cáceres,La Cumbre,-,0
Deleitosa,Cáceres,Deleitosa,-,0
Descargamaría,Cáceres,Descargamaría,-,0
Eljas,Cáceres,Eljas,-,0
Escurial,Cáceres,Escurial,-,0
Fresnedoso de Ibor,Cáceres,Fresnedoso de Ibor,-,0
Galisteo,Cáceres,Galisteo,5.0,1
Garciaz,Cáceres,Garciaz,-,0
Garganta la Olla,Cáceres,Garganta la Olla,3.66,3
Garganta (La),Cáceres,La Garganta,6.0,1
Gargantilla,Cáceres,Gargantilla,-,0
Gargüera,Cáceres,Gargüera,-,0
Garrovillas de Alconétar,Cáceres,Garrovillas de Alconétar,-,0
Garvín,Cáceres,Garvín,-,0
Gata,Cáceres,Gata,-,0
Gordo (El),Cáceres,El Gordo,5.71,4
Granja (La),Cáceres,La Granja,-,0
Guadalupe,Cáceres,Guadalupe,4.56,4
Guijo de Coria,Cáceres,Guijo de Coria,2.8,1
Guijo de Galisteo,Cáceres,Guijo de Galisteo,-,0
Guijo de Granadilla,Cáceres,Guijo de Granadilla,-,0
Guijo de Santa Bárbara,Cáceres,Guijo de Santa Bárbara,3.03,2
Herguijuela,Cáceres,Herguijuela,-,0
Hernán-Pérez,Cáceres,Hernán-Pérez,-,0
Herrera de Alcántara,Cáceres,Herrera de Alcántara,-,0
Herreruela,Cáceres,Herreruela,-,0
Hervás,Cáceres,Hervás,4.86,6
Higuera,Cáceres,Higuera,-,0
Hinojal,Cáceres,Hinojal,-,0
Holguera,Cáceres,Holguera,-,0
Hoyos,Cáceres,Hoyos,8.96,1
Huélaga,Cáceres,Huélaga,-,0
Ibahernando,Cáceres,Ibahernando,3.79,1
Jaraicejo,Cáceres,Jaraicejo,-,0
Jaraíz de la Vera,Cáceres,Jaraíz de la Vera,3.51,4
Jarandilla de la Vera,Cáceres,Jarandilla de la Vera,4.71,6
Jarilla,Cáceres,Jarilla,-,0
Jerte,Cáceres,Jerte,3.42,2
Ladrillar,Cáceres,Ladrillar,-,0
Logrosán,Cáceres,Logrosán,4.62,1
Losar de la Vera,Cáceres,Losar de la Vera,4.82,5
Madrigal de la Vera,Cáceres,Madrigal de la Vera,4.81,2
Madrigalejo,Cáceres,Madrigalejo,-,0
Madroñera,Cáceres,Madroñera,3.0,1
Majadas,Cáceres,Majadas,-,0
