municipio,provincia,municipio_nombre_humano
Barrado,Cáceres,Barrado
Belvís de Monroy,Cáceres,Belvís de Monroy
Benquerencia,Cáceres,Benquerencia
Berrocalejo,Cáceres,Berrocalejo
Berzocana,Cáceres,Berzocana
Bohonal de Ibor,Cáceres,Bohonal de Ibor
Botija,Cáceres,Botija
Brozas,Cáceres,Brozas
Cabañas del Castillo,Cáceres,Cabañas del Castillo
Cabezabellosa,Cáceres,Cabezabellosa
Cabezuela del Valle,Cáceres,Cabezuela del Valle
Cabrero,Cáceres,Cabrero
Cáceres,Cáceres,Cáceres
Cachorrilla,Cáceres,Cachorrilla
Cadalso,Cáceres,Cadalso
Calzadilla,Cáceres,Calzadilla
Caminomorisco,Cáceres,Caminomorisco
Campillo de Deleitosa,Cáceres,Campillo de Deleitosa
Campo Lugar,Cáceres,Campo Lugar
Cañamero,Cáceres,Cañamero
Cañaveral,Cáceres,Cañaveral
Carbajo,Cáceres,Carbajo
Carcaboso,Cáceres,Carcaboso
Carrascalejo,Cáceres,Carrascalejo
Casar de Cáceres,Cáceres,Casar de Cáceres
Casar de Palomero,Cáceres,Casar de Palomero
Casares de las Hurdes,Cáceres,Casares de las Hurdes
Casas de Don Antonio,Cáceres,Casas de Don Antonio
Casas de Don Gómez,Cáceres,Casas de Don Gómez
Casas de Millán,Cáceres,Casas de Millán
Casas de Miravete,Cáceres,Casas de Miravete
Casas del Castañar,Cáceres,Casas del Castañar
Casas del Monte,Cáceres,Casas del Monte
Casatejada,Cáceres,Casatejada
Casillas de Coria,Cáceres,Casillas de Coria
Castañar de Ibor,Cáceres,Castañar de Ibor
Ceclavín,Cáceres,Ceclavín
Cedillo,Cáceres,Cedillo
Cerezo,Cáceres,Cerezo
Cilleros,Cáceres,Cilleros
Collado de la Vera,Cáceres,Collado de la Vera
Conquista de la Sierra,Cáceres,Conquista de la Sierra
Coria,Cáceres,Coria
Cuacos de Yuste,Cáceres,Cuacos de Yuste
Cumbre (La),Cáceres,La Cumbre
Deleitosa,Cáceres,Deleitosa
Descargamaría,Cáceres,Descargamaría
Eljas,Cáceres,Eljas
Escurial,Cáceres,Escurial
Fresnedoso de Ibor,Cáceres,Fresnedoso de Ibor
Galisteo,Cáceres,Galisteo
Garciaz,Cáceres,Garciaz
Garganta la Olla,Cáceres,Garganta la Olla
Garganta (La),Cáceres,La Garganta
Gargantilla,Cáceres,Gargantilla
Gargüera,Cáceres,Gargüera
Garrovillas de Alconétar,Cáceres,Garrovillas de Alconétar
Garvín,Cáceres,Garvín
Gata,Cáceres,Gata
Gordo (El),Cáceres,El Gordo
Granja (La),Cáceres,La Granja
Guadalupe,Cáceres,Guadalupe
Guijo de Coria,Cáceres,Guijo de Coria
Guijo de Galisteo,Cáceres,Guijo de Galisteo
Guijo de Granadilla,Cáceres,Guijo de Granadilla
Guijo de Santa Bárbara,Cáceres,Guijo de Santa Bárbara
Herguijuela,Cáceres,Herguijuela
Hernán-Pérez,Cáceres,Hernán-Pérez
Herrera de Alcántara,Cáceres,Herrera de Alcántara
Herreruela,Cáceres,Herreruela
Hervás,Cáceres,Hervás
Higuera,Cáceres,Higuera
Hinojal,Cáceres,Hinojal
Holguera,Cáceres,Holguera
Hoyos,Cáceres,Hoyos
Huélaga,Cáceres,Huélaga
Ibahernando,Cáceres,Ibahernando
Jaraicejo,Cáceres,Jaraicejo
Jaraíz de la Vera,Cáceres,Jaraíz de la Vera
Jarandilla de la Vera,Cáceres,Jarandilla de la Vera
Jarilla,Cáceres,Jarilla
Jerte,Cáceres,Jerte
Ladrillar,Cáceres,Ladrillar
Logrosán,Cáceres,Logrosán
Losar de la Vera,Cáceres,Losar de la Vera
Madrigal de la Vera,Cáceres,Madrigal de la Vera
Madrigalejo,Cáceres,Madrigalejo
Madroñera,Cáceres,Madroñera
Majadas,Cáceres,Majadas
Malpartida de Cáceres,Cáceres,Malpartida de Cáceres
Malpartida de Plasencia,Cáceres,Malpartida de Plasencia
Marchagaz,Cáceres,Marchagaz
Mata de Alcántara,Cáceres,Mata de Alcántara
Membrío,Cáceres,Membrío
Mesas de Ibor,Cáceres,Mesas de Ibor
Miajadas,Cáceres,Miajadas
Millanes,Cáceres,Millanes
Mirabel,Cáceres,Mirabel
Mohedas de Granadilla,Cáceres,Mohedas de Granadilla
Monroy,Cáceres,Monroy
Montánchez,Cáceres,Montánchez
Montehermoso,Cáceres,Montehermoso
Moraleja,Cáceres,Moraleja
Morcillo,Cáceres,Morcillo
Navaconcejo,Cáceres,Navaconcejo
Navalmoral de la Mata,Cáceres,Navalmoral de la Mata
Navalvillar de Ibor,Cáceres,Navalvillar de Ibor
Navas del Madroño,Cáceres,Navas del Madroño
Navezuelas,Cáceres,Navezuelas
Nuñomoral,Cáceres,Nuñomoral
Oliva de Plasencia,Cáceres,Oliva de Plasencia
Palomero,Cáceres,Palomero
Pasarón de la Vera,Cáceres,Pasarón de la Vera
Pedroso de Acim,Cáceres,Pedroso de Acim
Peraleda de la Mata,Cáceres,Peraleda de la Mata
Peraleda de San Román,Cáceres,Peraleda de San Román
Perales del Puerto,Cáceres,Perales del Puerto
Pescueza,Cáceres,Pescueza
Pesga (La),Cáceres,La Pesga
Piedras Albas,Cáceres,Piedras Albas
Pinofranqueado,Cáceres,Pinofranqueado
Piornal,Cáceres,Piornal
Plasencia,Cáceres,Plasencia
Plasenzuela,Cáceres,Plasenzuela
Portaje,Cáceres,Portaje
Portezuelo,Cáceres,Portezuelo
Pozuelo de Zarzón,Cáceres,Pozuelo de Zarzón
Pueblonuevo de Miramontes,Cáceres,Pueblonuevo de Miramontes
Puerto de Santa Cruz,Cáceres,Puerto de Santa Cruz
Rebollar,Cáceres,Rebollar
Riolobos,Cáceres,Riolobos
Robledillo de Gata,Cáceres,Robledillo de Gata
Robledillo de la Vera,Cáceres,Robledillo de la Vera
Robledillo de Trujillo,Cáceres,Robledillo de Trujillo
Robledollano,Cáceres,Robledollano
Romangordo,Cáceres,Romangordo
Rosalejo,Cáceres,Rosalejo
Ruanes,Cáceres,Ruanes
Salorino,Cáceres,Salorino
Salvatierra de Santiago,Cáceres,Salvatierra de Santiago
San Martín de Trevejo,Cáceres,San Martín de Trevejo
Santa Ana,Cáceres,Santa Ana
Santa Cruz de la Sierra,Cáceres,Santa Cruz de la Sierra
Santa Cruz de Paniagua,Cáceres,Santa Cruz de Paniagua
Santa Marta de Magasca,Cáceres,Santa Marta de Magasca
Santiago de Alcántara,Cáceres,Santiago de Alcántara
Santiago del Campo,Cáceres,Santiago del Campo
Santibáñez el Alto,Cáceres,Santibáñez el Alto
Santibáñez el Bajo,Cáceres,Santibáñez el Bajo
Saucedilla,Cáceres,Saucedilla
Segura de Toro,Cáceres,Segura de Toro
Serradilla,Cáceres,Serradilla
Serrejón,Cáceres,Serrejón
Sierra de Fuentes,Cáceres,Sierra de Fuentes
Talaván,Cáceres,Talaván
Talaveruela de la Vera,Cáceres,Talaveruela de la Vera
Talayuela,Cáceres,Talayuela
Tejeda de Tiétar,Cáceres,Tejeda de Tiétar
Tiétar,Cáceres,Tiétar
Toril,Cáceres,Toril
Tornavacas,Cáceres,Tornavacas
Torno (El),Cáceres,El Torno
Torre de Don Miguel,Cáceres,Torre de Don Miguel
Torre de Santa María,Cáceres,Torre de Santa María
Torrecilla de los Ángeles,Cáceres,Torrecilla de los Ángeles
Torrecillas de la Tiesa,Cáceres,Torrecillas de la Tiesa
Torrejón el Rubio,Cáceres,Torrejón el Rubio
Torrejoncillo,Cáceres,Torrejoncillo
Torremenga,Cáceres,Torremenga
Torremocha,Cáceres,Torremocha
Torreorgaz,Cáceres,Torreorgaz
Torrequemada,Cáceres,Torrequemada
Trujillo,Cáceres,Trujillo
Valdastillas,Cáceres,Valdastillas
Valdecañas de Tajo,Cáceres,Valdecañas de Tajo
Valdefuentes,Cáceres,Valdefuentes
Valdehúncar,Cáceres,Valdehúncar
Valdelacasa de Tajo,Cáceres,Valdelacasa de Tajo
Valdemorales,Cáceres,Valdemorales
Valdeobispo,Cáceres,Valdeobispo
Valencia de Alcántara,Cáceres,Valencia de Alcántara
Valverde de la Vera,Cáceres,Valverde de la Vera
Valverde del Fresno,Cáceres,Valverde del Fresno
Vegaviana,Cáceres,Vegaviana
Viandar de la Vera,Cáceres,Viandar de la Vera
Villa del Campo,Cáceres,Villa del Campo
Villa del Rey,Cáceres,Villa del Rey
Villamesías,Cáceres,Villamesías
Villamiel,Cáceres,Villamiel
Villanueva de la Sierra,Cáceres,Villanueva de la Sierra
Villanueva de la Vera,Cáceres,Villanueva de la Vera
Villar de Plasencia,Cáceres,Villar de Plasencia
Villar del Pedroso,Cáceres,Villar del Pedroso
Villasbuenas de Gata,Cáceres,Villasbuenas de Gata
Zarza de Granadilla,Cáceres,Zarza de Granadilla
Zarza de Montánchez,Cáceres,Zarza de Montánchez
Zarza la Mayor,Cáceres,Zarza la Mayor
Zorita,Cáceres,Zorita
Alcalá de los Gazules,Cádiz,Alcalá de los Gazules
Alcalá del Valle,Cádiz,Alcalá del Valle
Algar,Cádiz,Algar
Algeciras,Cádiz,Algeciras
Algodonales,Cádiz,Algodonales
Arcos de la Frontera,Cádiz,Arcos de la Frontera
Barbate,Cádiz,Barbate
Barrios (Los),Cádiz,Los Barrios
Benalup-Casas Viejas,Cádiz,Benalup-Casas Viejas
Benaocaz,Cádiz,Benaocaz
Bornos,Cádiz,Bornos
Bosque (El),Cádiz,El Bosque
Cádiz,Cádiz,Cádiz
Castellar de la Frontera,Cádiz,Castellar de la Frontera
Chiclana de la Frontera,Cádiz,Chiclana de la Frontera
Chipiona,Cádiz,Chipiona
Conil de la Frontera,Cádiz,Conil de la Frontera
Espera,Cádiz,Espera
Gastor (El),Cádiz,El Gastor
Grazalema,Cádiz,Grazalema
Jerez de la Frontera,Cádiz,Jerez de la Frontera
Jimena de la Frontera,Cádiz,Jimena de la Frontera
Línea de la Concepción (La),Cádiz,La Línea de la Concepción
Medina Sidonia,Cádiz,Medina Sidonia
Olvera,Cádiz,Olvera
Paterna de Rivera,Cádiz,Paterna de Rivera
Prado del Rey,Cádiz,Prado del Rey
Puerto de Santa María (El),Cádiz,El Puerto de Santa María
Puerto Real,Cádiz,Puerto Real
Puerto Serrano,Cádiz,Puerto Serrano
Rota,Cádiz,Rota
San Fernando,Cádiz,San Fernando
San José del Valle,Cádiz,San José del Valle
San Martín del Tesorillo,Cádiz,San Martín del Tesorillo
San Roque,Cádiz,San Roque
Sanlúcar de Barrameda,Cádiz,Sanlúcar de Barrameda
Setenil de las Bodegas,Cádiz,Setenil de las Bodegas
Tarifa,Cádiz,Tarifa
Torre Alháquime,Cádiz,Torre Alháquime
Trebujena,Cádiz,Trebujena
Ubrique,Cádiz,Ubrique
Vejer de la Frontera,Cádiz,Vejer de la Frontera
Villaluenga del Rosario,Cádiz,Villaluenga del Rosario
Villamartín,Cádiz,Villamartín
Zahara,Cádiz,Zahara
Aín,Castellón,Aín
Albocàsser,Castellón,Albocàsser
Alcalà de Xivert,Castellón,Alcalà de Xivert
Alcora (l'),Castellón,L' Alcora
Alcudia de Veo,Castellón,Alcudia de Veo
Alfondeguilla,Castellón,Alfondeguilla
Algimia de Almonacid,Castellón,Algimia de Almonacid
Almassora,Castellón,Almassora
Almedíjar,Castellón,Almedíjar
Almenara,Castellón,Almenara
Alqueries (les)/Alquerías del Niño Perdido,Castellón,Les Alqueries/Alquerías del Niño Perdido
Altura,Castellón,Altura
Arañuel,Castellón,Arañuel
Ares del Maestrat,Castellón,Ares del Maestrat
Argelita,Castellón,Argelita
Artana,Castellón,Artana
Atzeneta del Maestrat,Castellón,Atzeneta del Maestrat
Ayódar,Castellón,Ayódar
Azuébar,Castellón,Azuébar
Barracas,Castellón,Barracas
Bejís,Castellón,Bejís
Benafer,Castellón,Benafer
Benafigos,Castellón,Benafigos
Benassal,Castellón,Benassal
Benicarló,Castellón,Benicarló
Benicasim/Benicàssim,Castellón,Benicasim/Benicàssim
Benlloc,Castellón,Benlloc
Betxí,Castellón,Betxí
Borriana/Burriana,Castellón,Borriana/Burriana
Borriol,Castellón,Borriol
Cabanes,Castellón,Cabanes
Càlig,Castellón,Càlig
Canet lo Roig,Castellón,Canet lo Roig
Castell de Cabres,Castellón,Castell de Cabres
Castellfort,Castellón,Castellfort
Castellnovo,Castellón,Castellnovo
Castellón de la Plana,Castellón,Castellón de la Plana
Castillo de Villamalefa,Castellón,Castillo de Villamalefa
Catí,Castellón,Catí
Caudiel,Castellón,Caudiel
Cervera del Maestre,Castellón,Cervera del Maestre
Chilches/Xilxes,Castellón,Chilches/Xilxes
Chodos/Xodos,Castellón,Chodos/Xodos
Chóvar,Castellón,Chóvar
Cinctorres,Castellón,Cinctorres
Cirat,Castellón,Cirat
Cortes de Arenoso,Castellón,Cortes de Arenoso
Costur,Castellón,Costur
Coves de Vinromà (les),Castellón,Les Coves de Vinromà
Culla,Castellón,Culla
Eslida,Castellón,Eslida
Espadilla,Castellón,Espadilla
Fanzara,Castellón,Fanzara
Figueroles,Castellón,Figueroles
Forcall,Castellón,Forcall
Fuente la Reina,Castellón,Fuente la Reina
Fuentes de Ayódar,Castellón,Fuentes de Ayódar
Gaibiel,Castellón,Gaibiel
Geldo,Castellón,Geldo
Herbers,Castellón,Herbers
Higueras,Castellón,Higueras
Jana (la),Castellón,La Jana
Jérica,Castellón,Jérica
Llosa (la),Castellón,La Llosa
Llucena/Lucena del Cid,Castellón,Llucena/Lucena del Cid
Ludiente,Castellón,Ludiente
Mata de Morella (la),Castellón,La Mata de Morella
Matet,Castellón,Matet
Moncofa,Castellón,Moncofa
Montán,Castellón,Montán
Montanejos,Castellón,Montanejos
Morella,Castellón,Morella
Navajas,Castellón,Navajas
Nules,Castellón,Nules
Olocau del Rey,Castellón,Olocau del Rey
Onda,Castellón,Onda
Oropesa del Mar/Orpesa,Castellón,Oropesa del Mar/Orpesa
Palanques,Castellón,Palanques
Pavías,Castellón,Pavías
Peníscola/Peñíscola,Castellón,Peníscola/Peñíscola
Pina de Montalgrao,Castellón,Pina de Montalgrao
Pobla de Benifassà (la),Castellón,La Pobla de Benifassà
Pobla Tornesa (la),Castellón,La Pobla Tornesa
Portell de Morella,Castellón,Portell de Morella
Puebla de Arenoso,Castellón,Puebla de Arenoso
Ribesalbes,Castellón,Ribesalbes
Rossell,Castellón,Rossell
Sacañet,Castellón,Sacañet
Salzadella (la),Castellón,La Salzadella
San Rafael del Río,Castellón,San Rafael del Río
Sant Joan de Moró,Castellón,Sant Joan de Moró
Sant Jordi/San Jorge,Castellón,Sant Jordi/San Jorge
Sant Mateu,Castellón,Sant Mateu
Santa Magdalena de Pulpis,Castellón,Santa Magdalena de Pulpis
Segorbe,Castellón,Segorbe
Serratella (la),Castellón,La Serratella
Sierra Engarcerán,Castellón,Sierra Engarcerán
Soneja,Castellón,Soneja
Sot de Ferrer,Castellón,Sot de Ferrer
Sueras/Suera,Castellón,Sueras/Suera
Tales,Castellón,Tales
Teresa,Castellón,Teresa
Tírig,Castellón,Tírig
Todolella,Castellón,Todolella
Toga,Castellón,Toga
Torás,Castellón,Torás
Toro (El),Castellón,El Toro
Torralba del Pinar,Castellón,Torralba del Pinar
Torre d'En Besora (la),Castellón,La Torre d'En Besora
Torre d'en Doménec (la),Castellón,La Torre d'en Doménec
Torreblanca,Castellón,Torreblanca
Torrechiva,Castellón,Torrechiva
Traiguera,Castellón,Traiguera
Useras/Useres (les),Castellón,Les Useras/Useres
Vall d'Alba,Castellón,Vall d'Alba
Vall de Almonacid,Castellón,Vall de Almonacid
Vall d'Uixó (la),Castellón,La Vall d'Uixó
Vallat,Castellón,Vallat
Vallibona,Castellón,Vallibona
Vilafamés,Castellón,Vilafamés
Vilafranca/Villafranca del Cid,Castellón,Vilafranca/Villafranca del Cid
Vilanova d'Alcolea,Castellón,Vilanova d'Alcolea
Vilar de Canes,Castellón,Vilar de Canes
Vila-real,Castellón,Vila-real
Vilavella (la),Castellón,La Vilavella
Villahermosa del Río,Castellón,Villahermosa del Río
Villamalur,Castellón,Villamalur
Villanueva de Viver,Castellón,Villanueva de Viver
Villores,Castellón,Villores
Vinaròs,Castellón,Vinaròs
Vistabella del Maestrat,Castellón,Vistabella del Maestrat
Viver,Castellón,Viver
Xert,Castellón,Xert
Zorita del Maestrazgo,Castellón,Zorita del Maestrazgo
Zucaina,Castellón,Zucaina
Abenójar,Ciudad Real,Abenójar
Agudo,Ciudad Real,Agudo
Alamillo,Ciudad Real,Alamillo
Albaladejo,Ciudad Real,Albaladejo
Alcázar de San Juan,Ciudad Real,Alcázar de San Juan
Alcoba,Ciudad Real,Alcoba
Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava
Alcubillas,Ciudad Real,Alcubillas
Aldea del Rey,Ciudad Real,Aldea del Rey
Alhambra,Ciudad Real,Alhambra
Almadén,Ciudad Real,Almadén
Almadenejos,Ciudad Real,Almadenejos
Almagro,Ciudad Real,Almagro
Almedina,Ciudad Real,Almedina
Almodóvar del Campo,Ciudad Real,Almodóvar del Campo
Almuradiel,Ciudad Real,Almuradiel
Anchuras,Ciudad Real,Anchuras
Arenales de San Gregorio,Ciudad Real,Arenales de San Gregorio
Arenas de San Juan,Ciudad Real,Arenas de San Juan
Argamasilla de Alba,Ciudad Real,Argamasilla de Alba
Argamasilla de Calatrava,Ciudad Real,Argamasilla de Calatrava
Arroba de los Montes,Ciudad Real,Arroba de los Montes
Ballesteros de Calatrava,Ciudad Real,Ballesteros de Calatrava
Bolaños de Calatrava,Ciudad Real,Bolaños de Calatrava
Brazatortas,Ciudad Real,Brazatortas
Cabezarados,Ciudad Real,Cabezarados
Cabezarrubias del Puerto,Ciudad Real,Cabezarrubias del Puerto
Calzada de Calatrava,Ciudad Real,Calzada de Calatrava
Campo de Criptana,Ciudad Real,Campo de Criptana
Cañada de Calatrava,Ciudad Real,Cañada de Calatrava
Caracuel de Calatrava,Ciudad Real,Caracuel de Calatrava
Carrión de Calatrava,Ciudad Real,Carrión de Calatrava
Carrizosa,Ciudad Real,Carrizosa
Castellar de Santiago,Ciudad Real,Castellar de Santiago
Chillón,Ciudad Real,Chillón
Ciudad Real,Ciudad Real,Ciudad Real
Corral de Calatrava,Ciudad Real,Corral de Calatrava
Cortijos (Los),Ciudad Real,Los Cortijos
Cózar,Ciudad Real,Cózar
Daimiel,Ciudad Real,Daimiel
Fernán Caballero,Ciudad Real,Fernán Caballero
Fontanarejo,Ciudad Real,Fontanarejo
Fuencaliente,Ciudad Real,Fuencaliente
Fuenllana,Ciudad Real,Fuenllana
Fuente el Fresno,Ciudad Real,Fuente el Fresno
Granátula de Calatrava,Ciudad Real,Granátula de Calatrava
Guadalmez,Ciudad Real,Guadalmez
Herencia,Ciudad Real,Herencia
Hinojosas de Calatrava,Ciudad Real,Hinojosas de Calatrava
Horcajo de los Montes,Ciudad Real,Horcajo de los Montes
Labores (Las),Ciudad Real,Las Labores
Llanos del Caudillo,Ciudad Real,Llanos del Caudillo
Luciana,Ciudad Real,Luciana
Malagón,Ciudad Real,Malagón
Manzanares,Ciudad Real,Manzanares
Membrilla,Ciudad Real,Membrilla
Mestanza,Ciudad Real,Mestanza
Miguelturra,Ciudad Real,Miguelturra
Montiel,Ciudad Real,Montiel
Moral de Calatrava,Ciudad Real,Moral de Calatrava
Navalpino,Ciudad Real,Navalpino
Navas de Estena,Ciudad Real,Navas de Estena
Pedro Muñoz,Ciudad Real,Pedro Muñoz
Picón,Ciudad Real,Picón
Piedrabuena,Ciudad Real,Piedrabuena
Poblete,Ciudad Real,Poblete
Porzuna,Ciudad Real,Porzuna
Pozuelo de Calatrava,Ciudad Real,Pozuelo de Calatrava
Pozuelos de Calatrava (Los),Ciudad Real,Los Pozuelos de Calatrava
Puebla de Don Rodrigo,Ciudad Real,Puebla de Don Rodrigo
Puebla del Príncipe,Ciudad Real,Puebla del Príncipe
Puerto Lápice,Ciudad Real,Puerto Lápice
Puertollano,Ciudad Real,Puertollano
Retuerta del Bullaque,Ciudad Real,Retuerta del Bullaque
Robledo (El),Ciudad Real,El Robledo
Ruidera,Ciudad Real,Ruidera
Saceruela,Ciudad Real,Saceruela
San Carlos del Valle,Ciudad Real,San Carlos del Valle
San Lorenzo de Calatrava,Ciudad Real,San Lorenzo de Calatrava
Santa Cruz de los Cáñamos,Ciudad Real,Santa Cruz de los Cáñamos
Santa Cruz de Mudela,Ciudad Real,Santa Cruz de Mudela
Socuéllamos,Ciudad Real,Socuéllamos
Solana del Pino,Ciudad Real,Solana del Pino
Solana (La),Ciudad Real,La Solana
Terrinches,Ciudad Real,Terrinches
Tomelloso,Ciudad Real,Tomelloso
Torralba de Calatrava,Ciudad Real,Torralba de Calatrava
Torre de Juan Abad,Ciudad Real,Torre de Juan Abad
Torrenueva,Ciudad Real,Torrenueva
Valdemanco del Esteras,Ciudad Real,Valdemanco del Esteras
Valdepeñas,Ciudad Real,Valdepeñas
Valenzuela de Calatrava,Ciudad Real,Valenzuela de Calatrava
Villahermosa,Ciudad Real,Villahermosa
Villamanrique,Ciudad Real,Villamanrique
Villamayor de Calatrava,Ciudad Real,Villamayor de Calatrava
Villanueva de la Fuente,Ciudad Real,Villanueva de la Fuente
Villanueva de los Infantes,Ciudad Real,Villanueva de los Infantes
Villanueva de San Carlos,Ciudad Real,Villanueva de San Carlos
Villar del Pozo,Ciudad Real,Villar del Pozo
Villarrubia de los Ojos,Ciudad Real,Villarrubia de los Ojos
Villarta de San Juan,Ciudad Real,Villarta de San Juan
Viso del Marqués,Ciudad Real,Viso del Marqués
Adamuz,Córdoba,Adamuz
Aguilar de la Frontera,Córdoba,Aguilar de la Frontera
Alcaracejos,Córdoba,Alcaracejos
Almedinilla,Córdoba,Almedinilla
Almodóvar del Río,Córdoba,Almodóvar del Río
Añora,Córdoba,Añora
Baena,Córdoba,Baena
Belalcázar,Córdoba,Belalcázar
Belmez,Córdoba,Belmez
Benamejí,Córdoba,Benamejí
Blázquez (Los),Córdoba,Los Blázquez
Bujalance,Córdoba,Bujalance
Cabra,Córdoba,Cabra
Cañete de las Torres,Córdoba,Cañete de las Torres
Carcabuey,Córdoba,Carcabuey
Cardeña,Córdoba,Cardeña
Carlota (La),Córdoba,La Carlota
Carpio (El),Córdoba,El Carpio
Castro del Río,Córdoba,Castro del Río
Conquista,Córdoba,Conquista
Córdoba,Córdoba,Córdoba
Doña Mencía,Córdoba,Doña Mencía
Dos Torres,Córdoba,Dos Torres
Encinas Reales,Córdoba,Encinas Reales
Espejo,Córdoba,Espejo
Espiel,Córdoba,Espiel
Fernán-Núñez,Córdoba,Fernán-Núñez
Fuente Carreteros,Córdoba,Fuente Carreteros
Fuente la Lancha,Córdoba,Fuente la Lancha
Fuente Obejuna,Córdoba,Fuente Obejuna
Fuente Palmera,Córdoba,Fuente Palmera
Fuente-Tójar,Córdoba,Fuente-Tójar
Granjuela (La),Córdoba,La Granjuela
Guadalcázar,Córdoba,Guadalcázar
Guijarrosa (La),Córdoba,La Guijarrosa
Guijo (El),Córdoba,El Guijo
Hinojosa del Duque,Córdoba,Hinojosa del Duque
Hornachuelos,Córdoba,Hornachuelos
Iznájar,Córdoba,Iznájar
Lucena,Córdoba,Lucena
Luque,Córdoba,Luque
Montalbán de Córdoba,Córdoba,Montalbán de Córdoba
Montemayor,Córdoba,Montemayor
Montilla,Córdoba,Montilla
Montoro,Córdoba,Montoro
Monturque,Córdoba,Monturque
Moriles,Córdoba,Moriles
Nueva Carteya,Córdoba,Nueva Carteya
Obejo,Córdoba,Obejo
Palenciana,Córdoba,Palenciana
Palma del Río,Córdoba,Palma del Río
Pedro Abad,Córdoba,Pedro Abad
Pedroche,Córdoba,Pedroche
Peñarroya-Pueblonuevo,Córdoba,Peñarroya-Pueblonuevo
Posadas,Córdoba,Posadas
Pozoblanco,Córdoba,Pozoblanco
Priego de Córdoba,Córdoba,Priego de Córdoba
Puente Genil,Córdoba,Puente Genil
Rambla (La),Córdoba,La Rambla
Rute,Córdoba,Rute
San Sebastián de los Ballesteros,Córdoba,San Sebastián de los Ballesteros
Santa Eufemia,Córdoba,Santa Eufemia
Santaella,Córdoba,Santaella
Torrecampo,Córdoba,Torrecampo
Valenzuela,Córdoba,Valenzuela
Valsequillo,Córdoba,Valsequillo
Victoria (La),Córdoba,La Victoria
Villa del Río,Córdoba,Villa del Río
Villafranca de Córdoba,Córdoba,Villafranca de Córdoba
Villaharta,Córdoba,Villaharta
Villanueva de Córdoba,Córdoba,Villanueva de Córdoba
Villanueva del Duque,Córdoba,Villanueva del Duque
Villanueva del Rey,Córdoba,Villanueva del Rey
Villaralto,Córdoba,Villaralto
Villaviciosa de Córdoba,Córdoba,Villaviciosa de Córdoba
Viso (El),Córdoba,El Viso
Zuheros,Córdoba,Zuheros
Abegondo,A Coruña,Abegondo
Ames,A Coruña,Ames
Aranga,A Coruña,Aranga
Ares,A Coruña,Ares
Arteixo,A Coruña,Arteixo
Arzúa,A Coruña,Arzúa
Baña (A),A Coruña,A Baña
Bergondo,A Coruña,Bergondo
Betanzos,A Coruña,Betanzos
Boimorto,A Coruña,Boimorto
Boiro,A Coruña,Boiro
Boqueixón,A Coruña,Boqueixón
Brión,A Coruña,Brión
Cabana de Bergantiños,A Coruña,Cabana de Bergantiños
Cabanas,A Coruña,Cabanas
Camariñas,A Coruña,Camariñas
Cambre,A Coruña,Cambre
Capela (A),A Coruña,A Capela
Carballo,A Coruña,Carballo
Cariño,A Coruña,Cariño
Carnota,A Coruña,Carnota
Carral,A Coruña,Carral
Cedeira,A Coruña,Cedeira
Cee,A Coruña,Cee
Cerceda,A Coruña,Cerceda
Cerdido,A Coruña,Cerdido
Coirós,A Coruña,Coirós
Corcubión,A Coruña,Corcubión
Coristanco,A Coruña,Coristanco
Coruña (A),A Coruña,A Coruña
Culleredo,A Coruña,Culleredo
Curtis,A Coruña,Curtis
Dodro,A Coruña,Dodro
Dumbría,A Coruña,Dumbría
Fene,A Coruña,Fene
Ferrol,A Coruña,Ferrol
Fisterra,A Coruña,Fisterra
Frades,A Coruña,Frades
Irixoa,A Coruña,Irixoa
Laracha (A),A Coruña,A Laracha
Laxe,A Coruña,Laxe
Lousame,A Coruña,Lousame
Malpica de Bergantiños,A Coruña,Malpica de Bergantiños
Mañón,A Coruña,Mañón
Mazaricos,A Coruña,Mazaricos
Melide,A Coruña,Melide
Mesía,A Coruña,Mesía
Miño,A Coruña,Miño
Moeche,A Coruña,Moeche
Monfero,A Coruña,Monfero
Mugardos,A Coruña,Mugardos
Muros,A Coruña,Muros
Muxía,A Coruña,Muxía
Narón,A Coruña,Narón
Neda,A Coruña,Neda
Negreira,A Coruña,Negreira
Noia,A Coruña,Noia
Oleiros,A Coruña,Oleiros
Ordes,A Coruña,Ordes
Oroso,A Coruña,Oroso
Ortigueira,A Coruña,Ortigueira
Outes,A Coruña,Outes
Oza-Cesuras,A Coruña,Oza-Cesuras
Paderne,A Coruña,Paderne
Padrón,A Coruña,Padrón
Pino (O),A Coruña,O Pino
Pobra do Caramiñal (A),A Coruña,A Pobra do Caramiñal
Ponteceso,A Coruña,Ponteceso
Pontedeume,A Coruña,Pontedeume
Pontes de García Rodríguez (As),A Coruña,As Pontes de García Rodríguez
Porto do Son,A Coruña,Porto do Son
Rianxo,A Coruña,Rianxo
Ribeira,A Coruña,Ribeira
Rois,A Coruña,Rois
Sada,A Coruña,Sada
San Sadurniño,A Coruña,San Sadurniño
Santa Comba,A Coruña,Santa Comba
Santiago de Compostela,A Coruña,Santiago de Compostela
Santiso,A Coruña,Santiso
Sobrado,A Coruña,Sobrado
Somozas (As),A Coruña,As Somozas
Teo,A Coruña,Teo
Toques,A Coruña,Toques
Tordoia,A Coruña,Tordoia
Touro,A Coruña,Touro
